索引=32(2位鱼线组号)（1位0~8客户端表/9服务端表）（1位序号）000 ,鱼id,帧,轨迹
320102436,100000012,9301,5554
320102437,100,9302,2037
320102440,100,9303,2031
320104309,100000013,9822,3332
320102444,100000011,9517,11112
320106345,100000012,10501,7777
320102446,100,9601,2049
320102447,100000013,9601,1
320106165,100,4906,2030
320102449,100000010,9601,7770
320102450,100000013,9601,11122
320102453,100000007,9687,774
320102455,100000011,9781,9990
320102457,100000012,9819,8882
320102463,100000008,9902,5554
320106053,100000050,1501,1
320102464,100000007,9921,774
320104333,100,10501,2004
320106190,100000050,5701,5553
320102465,100000008,9968,11120
320102467,100000010,10148,11111
320105222,100,6585,2038
320102470,100000008,10203,7770
320105347,100000010,10265,7772
320102473,100000013,10281,3332
320106252,100000005,7501,7770
320102474,100000012,10286,8880
320105367,100000013,11066,3331
320102475,100000013,10296,771
320102476,100000011,10312,9990
320106377,100,11402,2014
320102477,100000011,10356,9990
320104192,100,6035,2045
320102479,100000013,10417,3334
320106197,100000013,6001,3336
320102481,100000014,10500,5553
320102482,100000011,10500,9990
320102483,100000007,10501,3
320105238,100000012,6901,6661
320102484,100000009,10501,6661
320102486,100000012,10501,8883
320105363,100000013,10801,3333
320102490,100,10503,2051
320105383,100,11403,2049
320102491,100000011,10546,9990
320102492,100000014,10618,15
320102493,100000152,10622,21
320104208,100,6602,2006
320102494,100000012,10706,7777
320102495,100,10718,2054
320106213,100000006,6375,8880
320102497,100000011,10801,7776
320102500,100,10921,2024
320102501,100000013,10926,5552
320104216,100000009,6901,663
320102502,100000008,10995,11112
320105379,100000008,11401,7779
320102504,100000008,11101,5552
320104373,100000011,11701,7775
320102507,100000050,11104,7773
320102508,100000012,11127,11127
320102509,100000007,11140,9993
320104224,100000014,7082,10
320102510,100,11160,2043
320102512,100000007,11203,9993
320106238,100,7148,2056
320102518,100000007,11312,9993
320105395,100000007,11702,5550
320102519,100000007,11343,9993
320105258,100000008,7515,7778
320102521,100,11401,2049
320106300,100000010,9001,9991
320102522,100000050,11401,1
320105287,100000013,8469,3335
320102527,100000013,11526,11113
320106117,100000050,3578,773
320102528,100000013,11593,11113
320102529,100000011,11625,3120
320102530,100,11643,2018
320102531,100000013,11666,11113
320105286,100000050,8406,7776
320102533,100000009,11701,5552
320104376,100,11774,2042
320106111,100000007,3493,7771
320102536,100000011,11705,3120
320102537,100000008,11725,11111
320106316,100000302,9601,4
320102538,100000013,11750,11113
320102539,100,11755,2056
320102540,100000011,11780,3120
320102541,100000013,11828,11113
320104256,100000006,8105,9993
320102543,100000012,11907,7771
320102545,100000011,11937,3120
320102546,100000014,11998,10
320102547,100000011,12000,3120
320105302,100000010,9001,7773
320102548,100000011,12062,3120
320102551,100000011,12155,7773
320105290,100,8701,2056
320102552,100000005,12156,11111
320102554,100000012,12218,12
320102556,100,12265,2017
320102558,100,12296,2013
320106000,100,0,2007
320102559,100000014,12328,7776
320102561,100000005,12355,11111
320102564,100000005,12482,11111
320102565,100000011,12509,7773
320104280,100000011,9001,7771
320106015,100000008,383,11113
320102566,100,12625,2034
320102567,100000013,12700,7775
320105306,100000013,9016,3335
320102568,100000013,12786,13
320102571,100,12812,2027
320102572,100000014,12901,10
320102574,100000011,12975,2
320106016,100000014,393,13
320102576,100000011,13003,11122
320102582,100000102,13312,10
320102583,100,13328,2021
320105322,100000006,9549,8880
320102584,100000008,13340,11124
320104325,100000013,10250,3330
320102585,100,13406,2020
320106364,100000008,11101,11110
320102586,100000013,13421,16
320105351,100000012,10421,6661
320102589,100000010,13588,6660
320104304,100,9602,2044
320102591,100,13656,2025
320106181,100000006,5401,7778
320102592,100000011,13726,16
320102593,100000011,13733,13
320102595,100000012,13829,5553
320105350,100000013,10359,7775
320102597,100000012,13906,11112
320106175,100000006,5103,5553
320102602,100,14109,2030
320102603,100000005,14112,7771
320102605,100000011,14125,2
320104320,100000009,10140,11113
320102607,100000013,14145,11120
320102609,100000050,14171,6661
320102610,100000012,14197,6663
320102611,100000013,14215,3336
320105366,100,11062,2007
320102612,100,14277,2046
320102617,100000050,14426,14
320102618,100000010,14480,6663
320102620,100000011,14491,7771
320102622,100000013,14531,5550
320106064,100000008,1742,7779
320102627,100000011,14716,7775
320105382,100000006,11402,8881
320102628,100,14729,2029
320102629,100000012,14771,7777
320104344,100,10801,2054
320106079,100000011,2323,7772
320102630,100000012,14798,11111
320102631,100000005,14814,5554
320105370,100000008,11101,11113
320102633,100000009,14834,11124
320103001,100000051,0,772
320103002,100,0,2002
320103003,100000014,0,7775
320105380,100000012,11401,6663
320103005,100,9,2028
320105374,100,11160,2004
320103007,100000007,46,5553
320105368,100000014,11101,14
320103008,100000050,100,7772
320103010,100000011,126,11111
320105249,100000013,7209,3331
320103018,100000012,312,773
320103019,100000052,312,661
320105396,100000011,11705,7772
320103020,100000012,312,223
320103021,100000012,349,7774
320105390,100,11641,2046
320103023,100000008,383,11112
320105384,100000013,11419,3334
320103024,100000010,407,8882
320103025,100000007,407,9990
320105394,100000012,11701,5553
320103027,100000011,453,337
320103028,100000003,468,770
320105259,100,7615,2054
320103029,100000011,484,337
320103030,100000003,500,770
320103033,100000008,546,5550
320103034,100,546,2032
320103037,100000003,562,770
320103038,100000006,564,5553
320105277,100000007,8102,5553
320103039,100000003,593,770
320105400,100000050,11898,7771
320103044,100000012,601,3330
320103045,100,602,2054
320103046,100,604,2051
320103051,100000011,656,337
320103052,100000011,671,337
320103054,100000011,687,337
320105293,100000050,8701,7770
320103056,100000011,718,337
320103062,100000014,901,12
320103063,100000011,901,9990
320103064,100000011,908,7772
320105311,100,9301,2018
320103065,100000052,1015,5553
320103066,100000050,1016,5554
320103067,100000301,1031,5551
320103071,100,1201,2032
320103072,100000011,1203,11113
320103074,100000013,1281,660
320105313,100000008,9301,11120
320103079,100000152,1501,22
320103080,100000012,1501,6661
320105327,100000011,9601,7770
320103081,100000011,1501,5554
320103082,100000012,1501,7770
320103084,100000012,1502,8881
320103085,100000013,1522,772
320103087,100000005,1625,771
320103088,100000014,1654,12
320103089,100000012,1657,7772
320103090,100000011,1671,7771
320105329,100000012,9602,7772
320103091,100000007,1671,8882
320103092,100000008,1703,7774
320105323,100,9601,2048
320103093,100000011,1734,7771
320103094,100000007,1754,8882
320103096,100000013,1801,19
320105343,100000004,10195,5554
320103097,100000011,1801,7771
320103099,100,1802,2031
320105348,100,10312,2025
320103100,100000011,1804,9993
320103102,100000008,1866,6660
320105341,100000008,10125,3333
320103103,100000013,1889,3335
320103107,100,2046,2039
320103108,100000011,2046,7771
320103110,100000050,2101,5554
320103113,100000009,2105,11113
320103115,100,2113,2023
320103116,100000007,2122,7773
320103118,100000011,2250,7770
320105357,100,10502,2050
320103123,100000012,2401,6663
320103124,100000006,2401,8880
320105355,100000008,10501,7779
320103125,100000012,2402,7775
320103126,100000013,2419,3334
320103128,100000013,2447,11127
320105375,100000009,11210,9990
320103131,100000011,2546,7770
320103134,100000011,2625,7770
320105373,100000009,11111,11112
320103135,100000011,2683,7772
320103136,100000011,2687,7770
320103138,100000011,2701,7773
320105377,100000050,11401,1
320103139,100000050,2701,5554
320103140,100000005,2702,5553
320105371,100000005,11102,5551
320103141,100000007,2702,7776
320103143,100000011,2843,7770
320103144,100000012,2892,7775
320105391,100000008,11641,7779
320103146,100,2972,2042
320103149,100,3001,2000
320103150,100,3002,2007
320105389,100000008,11593,7779
320103151,100000051,3003,7770
320103152,100000013,3055,11126
320103153,100,3100,2001
320103154,100000011,3161,9991
320105393,100000011,11701,7773
320103155,100,3301,2018
320103156,100000013,3301,4
320105387,100000008,11525,11113
320103157,100000012,3301,6661
320103159,100000012,3301,7774
320103160,100000006,3302,5550
320103163,100000007,3334,7772
320103166,100000005,3593,882
320103501,100000011,10047,9991
320103168,100000011,3601,7775
320103172,100000013,3655,3333
320105019,100000009,580,5552
320103480,100000008,9601,7779
320103173,100000011,3656,11113
320103174,100000011,3720,11113
320103175,100000050,3781,7773
320103177,100000012,3789,8881
320103178,100000007,3812,7770
320103182,100,3901,2006
320103183,100000008,3901,5553
320105032,100000013,876,3335
320103185,100000050,3902,5550
320105042,100000050,1111,14
320103187,100000011,3906,11113
320103188,100000007,3937,7770
320103525,100000005,10437,7771
320103192,100000007,4046,7770
320103193,100000007,4093,7770
320103194,100000011,4113,9992
320103195,100000007,4140,7770
320105060,100000012,1668,7777
320103198,100000051,4162,663
320103199,100000011,4187,9992
320105048,100000050,1250,7772
320103533,100000012,10501,6663
320103200,100000101,4193,6662
320103201,100000010,4193,880
320105058,100000011,1609,7770
320103202,100000013,4201,2
320103203,100000012,4201,6660
320103205,100000013,4203,3333
320103212,100000013,4281,3333
320103213,100000008,4328,333
320105070,100000050,1851,7771
320103215,100000006,4383,11111
320105064,100000014,1757,10
320103217,100000006,4453,11111
320105074,100000010,2053,5553
320103221,100000007,4502,5552
320103228,100000011,4656,7773
320103229,100000006,4656,11111
320105086,100,2400,2040
320103230,100000008,4684,11110
320103231,100000012,4712,7777
320105080,100000010,2187,5553
320103565,100000050,11401,4
320103232,100000011,4718,7773
320103236,100000013,4801,3333
320105083,100,2296,2032
320103544,100000011,10801,7772
320103237,100000050,4801,661
320103238,100,4801,2005
320103239,100000052,4804,7772
320103242,100000013,4899,3332
320103244,100000011,4921,7773
320103424,100000014,8400,12
320103245,100000006,4921,11111
320105102,100,2903,2038
320103246,100000011,4961,7775
320103247,100000011,4984,7773
320105096,100000011,2598,7775
320103249,100,5015,2035
320105106,100000008,3001,11111
320103254,100000050,5101,2
320103589,100000008,11859,7778
320103256,100000012,5101,8883
320103257,100000014,5102,14
320103259,100000012,5102,8881
320105124,100000007,3603,7774
320103260,100000009,5103,5551
320103263,100000011,5218,5554
320105112,100,3301,2050
320103597,100,12125,2055
320103264,100000011,5234,9993
320103265,100000011,5281,5554
320105122,100000011,3538,9993
320103266,100000011,5281,9993
320103267,100000011,5343,5554
320103270,100000011,5401,9993
320103275,100000011,5453,9993
320105140,100,3933,2042
320103456,100000005,9046,7773
320103277,100000008,5484,7771
320105134,100,3901,2006
320103279,100000011,5515,9993
320105128,100,3769,2040
320103280,100000011,5531,5554
320103464,100000006,9301,7778
320103285,100000008,5701,7771
320103290,100000008,5750,7771
320103292,100000008,5812,7771
320103472,100000051,9496,5552
320103293,100000011,5875,881
320105150,100000013,4201,5552
320103294,100,5882,2044
320105021,100000051,601,1
320103296,100000010,5925,6660
320103298,100000011,5968,881
320105025,100,602,2048
320103300,100000008,6000,7771
320105147,100,4201,2049
320103301,100000012,6001,6662
320103306,100000011,6065,881
320103308,100000013,6100,3334
320103310,100000011,6156,881
320105037,100000005,1015,5551
320103311,100000010,6187,5552
320105160,100000006,4661,8882
320103313,100000010,6250,5552
320105170,100000010,4898,7776
320103319,100000010,6359,5552
320103320,100000010,6390,3334
320105055,100000014,1501,5554
320103321,100000014,6393,13
320103324,100000012,6441,8882
320103327,100000010,6500,3334
320105176,100000013,5101,5552
320103328,100000101,6525,7775
320103329,100,6562,2011
320105186,100,5402,2045
320103330,100000010,6568,3334
320105057,100000050,1502,5552
320103331,100000008,6601,11111
320103334,100000013,6609,3335
320103335,100000010,6625,3334
320103336,100000013,6657,20
320105071,100,1859,2042
320103337,100000011,6671,7770
320103339,100000011,6734,7770
320105204,100000053,6001,1
320103343,100000010,6859,3334
320105192,100000050,5581,7777
320103344,100000011,6890,7770
320103346,100000012,6901,6663
320105073,100000010,1984,5553
320103528,100000005,10484,7771
320103349,100,6902,2027
320103557,100000009,11102,11112
320103352,100000012,6911,7774
320105087,100,2401,2047
320103355,100000010,6984,11124
320105092,100,2506,2049
320103536,100000050,10502,5551
320103357,100000010,7031,11124
320105214,100000011,6249,7776
320103358,100000014,7038,10
320105085,100000014,2359,5553
320103360,100000011,7078,9992
320103362,100000011,7140,9992
320105089,100000012,2401,6660
320103363,100000010,7140,11124
320103365,100000011,7187,9992
320103368,100000011,7201,7776
320105103,100000013,2953,3330
320103372,100000010,7234,7774
320103552,100000008,11084,7775
320103373,100000011,7250,9992
320103378,100000012,7363,7772
320105105,100,3001,2008
320103379,100000011,7375,9992
320103380,100000010,7421,7774
320105099,100000008,2702,5551
320103383,100000005,7484,8883
320103385,100000051,7501,5552
320103390,100000005,7531,8883
320105117,100000008,3302,5553
320103391,100000010,7546,7774
320103392,100000007,7578,1
320103393,100000005,7578,8883
320103395,100000011,7657,7771
320103396,100000007,7665,1
320105115,100000012,3301,7777
320103576,100000008,11562,7771
320103397,100000005,7671,8883
320103399,100000007,7734,1
320103400,100000014,7755,13
320105135,100000009,3901,5554
320103401,100000005,7765,8883
320103403,100000013,7801,3333
320103406,100000005,7802,7774
320105133,100000050,3901,7771
320103407,100000005,7812,8883
320103408,100000012,7819,7773
320103411,100000005,7875,8883
320103412,100000005,7937,8883
320105131,100000008,3851,11112
320103592,100,11910,2028
320103413,100,7945,2053
320103416,100000009,8101,5550
320105151,100000012,4203,7772
320103418,100000050,8102,5553
320103419,100000011,8104,7775
320105156,100000011,4501,7771
320103422,100000008,8259,11112
320105149,100000009,4201,7773
320103426,100000009,8401,7776
320103433,100000013,8578,5552
320103434,100000010,8578,11111
320106327,100000004,9901,772
320103435,100000011,8590,9993
320103436,100000010,8625,11111
320105289,100000014,8701,12
320103437,100000008,8639,7773
320103438,100000010,8676,11111
320103439,100000012,8698,7770
320105109,100000005,3078,772
320103443,100000012,8701,6663
320103444,100000007,8701,5551
320103446,100000012,8702,7777
320106323,100000012,9792,7771
320103449,100000011,9001,7774
320103450,100000013,9001,3331
320106343,100000012,10501,6660
320103452,100000011,9007,11127
320105305,100000053,9006,6662
320103453,100,9007,2011
320103454,100000007,9009,11121
320103455,100000053,9031,7776
320105125,100000013,3609,3330
320103459,100000013,9225,3336
320103461,100,9301,2036
320103462,100000014,9301,12
320106339,100,10254,2037
320103463,100000050,9301,5551
320103468,100,9304,2018
320105321,100000009,9461,7778
320103471,100000008,9468,7779
320105141,100000008,3953,11112
320103473,100000008,9515,7779
320103477,100000008,9562,7779
320103482,100000012,9602,7773
320106247,100000013,7344,3332
320103483,100000008,9656,7779
320103484,100000013,9681,3332
320105337,100000008,9984,3333
320103487,100000010,9734,9993
320105029,100000011,773,7775
320103490,100000008,9796,7779
320103494,100000011,9901,7774
320106371,100000008,11386,11113
320103497,100000010,9953,9993
320105228,100000009,6605,11113
320103500,100000011,10026,11124
320105353,100000152,10501,22
320103503,100000005,10062,7771
320105173,100,5101,2038
320103505,100000008,10081,7775
320103507,100000005,10125,7771
320106262,100000012,7801,7776
320103508,100000010,10125,9993
320103510,100000005,10187,7771
320106387,100000011,11704,9992
320103515,100000050,10202,7771
320103516,100000010,10203,9993
320105369,100000007,11101,5552
320103518,100000005,10265,7771
320103519,100000013,10281,3334
320105189,100,5453,2038
320103521,100000005,10328,7771
320103526,100000012,10448,8881
320103527,100,10484,2010
320106266,100000013,7944,3336
320103531,100000152,10501,3336
320103546,100000011,10802,9993
320106311,100000012,9349,7775
320103554,100000052,11101,5552
320103558,100000010,11109,881
320103559,100,11173,2003
320103561,100000012,11289,7777
320105292,100000010,8701,5553
320103562,100000010,11296,881
320103564,100,11401,2052
320103567,100000008,11401,7771
320103569,100000006,11404,8882
320103571,100000013,11409,3330
320106326,100000011,9869,7772
320103572,100000010,11467,7779
320103575,100000009,11526,11112
320106314,100,9531,2006
320103579,100,11618,2026
320103580,100000008,11625,7771
320103582,100000014,11701,15
320103583,100000007,11701,5554
320103585,100000007,11702,5550
320103590,100000008,11890,7778
320103591,100000012,11910,7771
320106330,100000008,9904,7778
320104004,100000011,74,7776
320106363,100000006,11101,5552
320104005,100000006,109,7772
320104006,100000009,111,5553
320104011,100000011,390,7770
320106388,100000051,11759,7775
320104013,100000012,419,7777
320106382,100000011,11630,7777
320104016,100000011,514,7770
320104022,100000012,601,6663
320104023,100000005,601,7773
320104024,100000013,601,3331
320106271,100000007,8102,5553
320104026,100,604,2045
320104027,100000009,604,8883
320104029,100000012,842,8882
320104032,100000011,904,9993
320104033,100000007,906,11111
320104034,100000007,953,9991
320106273,100000011,8106,7774
320104035,100000007,984,11111
320104042,100000006,1155,7779
320104044,100,1201,2018
320104045,100000101,1201,663
320104047,100,1202,2005
320104049,100000009,1309,7778
320104051,100000013,1425,3335
320104052,100000152,1501,22
320106283,100,8401,2016
320104054,100000007,1501,5553
320104057,100000012,1503,7777
320104058,100,1644,2053
320104060,100000013,1801,3336
320104061,100,1801,2046
320104062,100000011,1801,333
320106301,100000011,9002,7776
320104063,100,1802,2049
320104066,100000009,2002,7779
320106305,100,9301,2024
320104068,100,2098,2038
320104069,100000014,2101,11
320104070,100000006,2101,5551
320104075,100000011,2258,7773
320104077,100000050,2401,1
320104080,100000008,2402,8882
320104086,100,2672,2020
320104087,100000014,2701,5551
320104088,100000011,2701,9993
320106335,100,10201,2005
320104090,100000006,2702,9992
320104091,100000011,2719,7775
320104093,100000009,2881,7779
320104096,100000009,3005,7778
320104097,100000012,3017,7770
320104098,100000009,3062,7778
320106337,100000007,10202,6660
320104099,100000009,3109,7778
320104103,100000050,3301,1
320104104,100000012,3301,6663
320106351,100000014,10639,14
320104105,100000008,3301,5550
320104106,100000009,3301,7775
320104108,100,3302,2048
320104109,100000004,3302,5552
320104111,100000012,3390,7779
320104113,100000011,3509,7771
320104115,100000011,3601,7771
320104116,100000007,3603,9992
320106347,100,10502,2021
320104118,100000013,3710,3332
320104120,100,3737,2001
320106367,100000011,11257,7770
320104122,100,3789,2040
320104123,100000011,3812,7771
320106372,100,11401,2052
320104126,100000008,3901,7778
320106365,100000012,11148,7777
320104130,100000014,4113,12
320106369,100000014,11285,11121
320104131,100000011,4133,7775
320104132,100000009,4159,11113
320104134,100000053,4201,3
320104135,100000012,4201,6660
320104137,100000013,4201,550
320104141,100,4396,2002
320104142,100000010,4501,5550
320106381,100,11619,2031
320104147,100000006,4575,9991
320104149,100,4632,2056
320104150,100000013,4681,7773
320104152,100,4801,2010
320104155,100000009,4803,7779
320104158,100000012,5050,7775
320104160,100000050,5101,2
320104161,100000012,5101,6661
320104162,100000004,5101,5554
320104163,100000005,5102,5553
320104164,100000008,5102,7777
320104165,100000012,5110,7770
320104168,100000004,5218,5554
320104169,100000011,5371,7773
320104170,100,5401,2044
320104172,100000013,5401,3330
320104173,100000011,5402,7774
320104174,100,5403,2050
320104175,100000006,5523,330
320104176,100000013,5590,3334
320104177,100,5592,2053
320104178,100000009,5650,11112
320104179,100,5701,2019
320104180,100000007,5701,5550
320104181,100000004,5701,7772
320104182,100,5702,2008
320104183,100000008,5702,7777
320104184,100000014,5702,5554
320104185,100000010,5791,14
320104186,100000012,5965,7773
320104187,100000152,6001,2
320104188,100000009,6001,6663
320104189,100000008,6001,8880
320104190,100000012,6002,7774
320104191,100000013,6009,3332
320104193,100,6046,2038
320106050,100000007,1421,5554
320104195,100000008,6156,11111
320104196,100,6213,2051
320106043,100000007,1218,5554
320104198,100000007,6301,5552
320104199,100000006,6301,9993
320104201,100000008,6303,9991
320104202,100,6343,2038
320104205,100000004,6530,7777
320106062,100000008,1687,7779
320104206,100000009,6601,7779
320104207,100,6601,2032
320106056,100000012,1501,7776
320104209,100000012,6602,7774
320106066,100,1801,2048
320104210,100000013,6608,3334
320104211,100000013,6609,3332
320104212,100000011,6757,7775
320104213,100000008,6798,8880
320104215,100000010,6901,1
320104217,100000012,6901,7772
320104218,100000007,6901,5553
320104219,100,6902,2040
320106084,100000013,2404,3336
320104220,100000006,6902,5551
320104222,100,7037,2015
320104223,100,7076,2053
320106072,100000013,1895,3334
320104227,100000013,7201,3335
320104228,100000011,7201,9993
320104229,100,7202,2052
320104230,100000011,7202,9992
320104234,100000008,7501,7779
320104235,100000006,7501,5550
320106100,100000007,3198,9993
320104236,100,7501,2005
320104237,100000007,7502,5554
320106094,100000008,2944,11112
320104238,100000007,7505,7775
320104239,100,7530,2053
320106088,100000012,2675,7774
320104241,100000014,7799,11
320106098,100000051,3002,7771
320104242,100000013,7801,3
320104243,100000013,7801,3333
320104244,100000012,7801,6661
320104245,100000012,7801,8883
320104246,100000012,7804,7776
320104247,100000013,7809,3331
320104249,100,7835,2001
320104251,100,7971,2050
320104252,100,7984,2038
320104255,100000007,8102,5550
320106104,100,3301,2027
320104257,100000014,8169,661
320106114,100000010,3578,770
320104259,100000010,8348,11110
320104260,100,8401,2008
320106107,100000012,3302,8882
320104262,100000014,8402,7775
320104266,100000051,8701,17
320104267,100000011,8701,3
320106132,100,4078,2055
320104268,100000014,8701,11
320104270,100000012,8701,7776
320104271,100000050,8702,5553
320106120,100000007,3603,7771
320104273,100000009,8704,7779
320106130,100000014,3947,12
320104274,100000008,8762,7774
320106001,100000009,0,11120
320104278,100000011,8948,7777
320104279,100000010,8984,7773
320104281,100000006,9003,7778
320104282,100000013,9015,3332
320104283,100000013,9037,3336
320106148,100000009,4502,7779
320104284,100000010,9071,7773
320104287,100,9171,2011
320106136,100000012,4201,6660
320104289,100000050,9301,5552
320106146,100000050,4501,5550
320104291,100000006,9302,334
320104292,100,9303,2027
320106011,100,218,2013
320104294,100000012,9406,6660
320104298,100000012,9522,6660
320104299,100000009,9551,8881
320106164,100000013,4906,3330
320104300,100,9601,2052
320104302,100000012,9601,6660
320106029,100000011,616,9992
320104305,100000009,9603,8882
320106162,100000050,4828,7775
320104306,100000013,9689,3333
320106033,100000011,901,7776
320104307,100,9783,2039
320104308,100000008,9783,7779
320106027,100,603,2051
320104310,100000010,9901,5553
320104311,100000011,9901,7777
320104313,100000009,9902,5552
320104314,100000010,9906,7771
320104316,100000010,10015,772
320104319,100000014,10111,14
320106168,100000013,5031,3333
320104321,100000009,10149,11110
320106178,100000007,5236,7777
320104322,100,10201,2030
320106049,100000013,1386,3334
320104323,100,10202,2005
320104330,100000014,10497,7773
320104331,100000050,10501,3
320106196,100000152,6001,22
320104332,100000012,10501,6661
320104334,100000005,10501,7777
320106061,100000014,1684,15
320104335,100000006,10501,5554
320106184,100,5469,2040
320104337,100000006,10502,5550
320106194,100000012,5930,7772
320104338,100000008,10502,7778
320106065,100000050,1765,772
320104342,100,10653,2011
320104343,100000014,10757,13
320104345,100000011,10801,7772
320104346,100000011,10802,9992
320104348,100000013,10931,3332
320104351,100000008,11055,11113
320106200,100000007,6033,8883
320104353,100000011,11101,5551
320106210,100000010,6301,771
320104355,100,11102,2000
320104356,100000050,11102,5552
320106075,100000006,2101,7774
320104358,100,11278,2055
320104359,100000006,11282,7778
320104360,100,11401,2050
320106095,100000013,3001,3336
320104362,100000012,11401,7774
320104363,100000008,11401,550
320106228,100000052,6901,1
320104364,100,11402,2015
320104366,100000013,11473,3336
320106093,100000011,2779,7774
320104368,100000014,11525,7771
320104369,100000013,11531,3331
320106226,100000013,6786,3335
320104370,100,11616,2045
320106097,100,3002,2008
320104371,100000014,11701,15
320104372,100000051,11701,5550
320106091,100000007,2702,5553
320104374,100000010,11702,5554
320104375,100000006,11702,9991
320104377,100,11794,2033
320104378,100000011,11940,9993
320105000,100,0,2008
320105002,100000009,0,11120
320105006,100000012,62,8883
320105010,100000013,258,3333
320105013,100000014,391,11
320105015,100000007,434,7775
320105016,100,500,2011
320105017,100000013,510,11120
320105020,100000050,581,5551
320105022,100000012,601,6661
320105024,100000013,601,3330
320105027,100,603,2034
320105030,100,818,2035
320105031,100000012,875,7774
320105033,100000008,876,11113
320105034,100000011,901,7771
320105040,100000008,1054,11111
320105045,100,1202,2012
320105046,100000006,1205,7776
320105047,100000013,1209,3331
320105049,100000012,1382,332
320105050,100000013,1434,3334
320105052,100000101,1501,2
320105056,100000008,1502,7778
320105059,100000012,1668,6660
320105061,100000011,1685,7770
320105062,100000011,1688,7775
320105063,100000011,1750,7770
320105065,100000014,1781,9991
320105066,100,1801,2027
320105072,100000013,1889,3333
320105077,100000007,2102,5552
320105079,100000011,2179,7774
320105081,100000012,2282,7776
320105084,100000012,2348,8883
320105088,100000006,2401,4
320105091,100000012,2404,7776
320105094,100000050,2543,7773
320105095,100000051,2597,6661
320105097,100000014,2701,13
320105100,100000011,2702,9993
320105104,100000013,2968,3331
320105107,100000009,3003,7773
320105110,100000011,3120,9991
320105111,100000009,3289,8880
320105114,100000012,3301,6661
320105116,100000006,3301,5554
320105120,100,3317,2030
320105123,100000011,3601,7773
320105126,100000009,3656,11122
320105127,100000013,3745,3331
320105129,100,3840,2044
320105130,100000012,3843,11124
320105132,100000008,3890,11112
320105136,100000010,3902,5551
320105139,100000008,3921,11112
320105142,100000007,3991,12
320105143,100,4046,2042
320105145,100000012,4083,7774
320105146,100000014,4093,661
320105148,100000012,4201,6660
320105152,100000013,4217,3335
320105153,100000008,4410,7776
320105157,100000012,4502,5552
320105159,100,4625,2036
320105161,100,4686,2036
320105163,100,4750,2005
320105164,100,4796,2038
320105167,100000008,4805,11110
320105168,100000007,4832,7770
320105169,100000010,4898,7772
320105171,100000011,5010,7774
320105174,100000010,5101,7771
320105175,100000012,5101,6660
320105178,100000008,5102,8882
320105179,100000012,5129,7777
320105180,100000008,5167,8882
320105181,100000004,5218,881
320105183,100,5401,2051
320105184,100000013,5401,3336
320105185,100000011,5401,9992
320105190,100000004,5468,881
320105191,100000014,5578,11126
320105193,100000005,5610,8883
320105195,100000014,5701,10
320105196,100000011,5701,5553
320105197,100000006,5701,11120
320105199,100000012,5718,7776
320105200,100000014,5789,11125
320105203,100,5953,2011
320105206,100000006,6001,7778
320105209,100,6131,2053
320105210,100,6142,2051
320105213,100000010,6187,7779
320105215,100000010,6250,7779
320105216,100000010,6301,7779
320105219,100000011,6303,7773
320105220,100000014,6418,13
320105224,100,6601,2018
320105225,100000013,6601,3330
320105229,100000050,6609,7775
320105230,100000013,6632,3333
320105231,100000012,6781,774
320105232,100000013,6794,3334
320105233,100000011,6885,7774
320105234,100,6901,2016
320105235,100000101,6901,4
320105237,100000008,6901,7779
320105239,100000009,6901,5553
320105241,100000004,6902,5554
320105248,100000011,7202,7772
320105251,100000014,7304,7770
320105252,100,7312,2003
320105253,100000008,7501,5550
320105256,100000006,7502,5554
320105262,100000012,7718,7771
320105266,100000012,7801,6660
320105268,100000012,7803,8883
320105269,100000013,7889,3333
320105271,100000013,7911,3335
320105272,100,8019,2036
320105273,100000011,8035,9990
320105275,100000011,8101,7777
320105278,100000008,8102,7778
320105280,100,8282,2044
320105282,100,8401,2013
320105285,100000050,8402,7775
320105288,100000013,8507,3334
320105294,100000105,8702,3
320105296,100000007,8702,5554
320105298,100000050,8881,11112
320105301,100000013,8953,3335
320105304,100000013,9005,11123
320105312,100000006,9301,5550
320105314,100000050,9302,5552
320105316,100,9304,2038
320105317,100,9308,2009
320105320,100000014,9454,10
320105326,100000013,9601,3331
320105328,100,9602,2045
320105330,100000013,9645,3334
320105332,100000005,9901,5550
320105333,100000009,9901,7778
320105336,100000008,9920,3333
320105339,100000008,10062,3333
320105340,100000013,10106,7776
320105342,100000014,10171,12
320105344,100000013,10201,3334
320105346,100000011,10203,7774
320105349,100000050,10359,3336
320105356,100000006,10501,5550
320105358,100000012,10502,5551
320105360,100000050,10656,7772
320105364,100000007,10801,9992
320105365,100000007,10802,9993
320105372,100000006,11104,7777
320105381,100,11402,2027
320105388,100000008,11546,7779
320105392,100000005,11656,7776
320105397,100000010,11734,7775
320105398,100000014,11747,14
320106002,100000007,2,7774
320106003,100000010,117,5554
320106005,100000011,151,7772
320106007,100000011,161,3332
320106009,100000008,161,3330
320106010,100000010,171,5554
320106012,100000010,234,5554
320106019,100000014,581,5554
320106020,100,601,2036
320106022,100000052,601,2
320106024,100000012,601,7770
320106026,100000008,602,8883
320106030,100000006,708,7779
320106034,100000011,902,7772
320106036,100000011,997,7776
320106037,100000014,1038,14
320106039,100,1201,2010
320106040,100000013,1201,3332
